,PC1,PC2,PC3,PC4
Away_clearances,-0.1602009037448951,-0.1014142308594559,-0.06463242177616936,0.1689482785494241
Home_offsides,-0.033805316948420476,-0.04269886450561083,0.1711210267799411,0.04180890939564414
Away_offsides,0.0013431126106669363,0.02815153950940257,0.18353982188250678,0.041221740110431906
Home_goal_kicks,-0.10143910583493997,0.2003527363073569,-0.03478458804751152,-0.004807716719623797
Away_goal_kicks,-0.19266023213002378,-0.11184075600882862,-0.04983824637043413,-0.03068228367712535
Home_throw_ins,-0.06250530769138837,0.06825639792295218,0.0205623461069863,0.1970227398376207
Away_throw_ins,-0.05950663231392004,-0.03655011052728731,0.03618120270971205,0.20180881531024036
Home_long_balls,-0.11354810941976617,0.17162416453504653,0.009849627686419405,0.12382767998858903
Away_long_balls,-0.1814121742343927,-0.10405755058734444,0.004813330729806803,0.10873973918447814
Home_assists,0.11388479823880954,-0.23184060205185927,0.029360299808958695,0.017285275665480073
Home_pens_made,0.05291261494843675,-0.09238322113645012,0.03665576428060611,-0.09977321819110282
Home_pens_att,0.04965793769503267,-0.0967788942674479,0.04874656996938225,-0.10014058035141082
Home_shots,0.13118685383688228,-0.2624187924914128,0.07516164340307772,0.010653135789084346
Home_cards_yellow,-0.08927543043957396,0.1385386952399191,0.13734242841959302,-0.2575626349061218
Home_cards_red,-0.04156594893726913,0.071628912123982,0.05892654137233126,-0.12283563373155082
Home_fouled,-0.06262981399963062,0.05731963378840367,0.22320520908225125,-0.08812209432273338
Home_tackles_won,-0.100892497161678,0.011587829194574857,0.2978138666396655,0.23111654256294542
Home_own_goals,-0.008744621828734965,0.03593570493076258,-0.03249688998079801,-0.024101793692961733
Home_pens_won,0.034797431118388684,-0.0764475800000714,-0.0077822371518486986,0.0015859912552625343
Home_pens_conceded,-0.028644569723914284,0.06020161127060023,-0.034462998369944355,-0.037825130171250554
Away_assists,0.20692021938198044,0.11151870795699002,0.04368921514754501,0.07018853044799352
Away_pens_made,0.09091507303555081,0.04626669769032931,0.018772277181897563,-0.08877349009975534
Away_pens_att,0.0955475786345039,0.05007401015990232,0.028790719070345566,-0.09397483071184683
Away_shots,0.24959708558610058,0.13536622890744832,0.08680831469782616,0.0750646980882365
Away_cards_yellow,-0.09531742241398146,-0.022858934128198116,0.20609297499058601,-0.2555010339629216
Away_cards_red,-0.05692562116821468,-0.016632430079914707,0.09198305032687082,-0.1192879562382105
Away_fouled,-0.018699118891708923,0.03134400815185392,0.2505108852478361,-0.13432838611311243
Away_tackles_won,-0.11801370931599744,-0.01883182931606622,0.29969271118183166,0.23112361038093293
Away_own_goals,-0.015450790307377017,-0.00986570345258103,-0.050717248381793055,0.00034446707573886624
Away_pens_won,0.07181511732901684,0.03439985832861591,-5.413827659092945e-05,-0.008964780809092054
Away_pens_conceded,-0.05923013845952152,-0.04145769907699516,-0.05716273592733563,-0.013750614019116014
Home_keeper_gk_shots_on_target_against,-0.0772972645425921,0.1763723519450241,-0.13407644203686825,0.006868935362808289
Home_keeper_gk_goals_against,-0.06459080030928392,0.15626547177280473,-0.10873033303241539,-0.06227246685364291
Home_keeper_gk_saves,-0.06606404207627217,0.14622494153527774,-0.10330181473000524,0.02472525767482238
Home_keeper_gk_save_pct,0.01624318989311705,-0.04542523725701692,-0.013258483435256842,0.11539295824019366
Away_keeper_gk_shots_on_target_against,-0.16588459348637263,-0.09458793060565071,-0.12684575884520705,-0.05199554064309619
Away_keeper_gk_goals_against,-0.14013241331501713,-0.07472382110867068,-0.08837820050226484,-0.06706014121038492
Away_keeper_gk_saves,-0.13886257986833456,-0.08043396096277816,-0.09766450941416058,-0.052792790306561616
Away_keeper_gk_save_pct,0.03928383905963583,0.01187750616498455,-0.0381953554764758,0.07826907313339976
home_xg,0.14076243794580925,-0.2739839085737936,0.034543630014136496,-0.016946196600998262
away_xg,0.26351617999506854,0.13967356558655125,0.031476289660672625,0.04631299935348605
