component,feature,loading,abs_loading
PC21,Away_pens_att,0.12479295882242768,0.12479295882242768
PC21,Away_possession,0.11476905457382189,0.11476905457382189
PC21,Home_possession,-0.11465206537463128,0.11465206537463128
PC21,Away_offsides,-0.1005321295172045,0.1005321295172045
PC21,Home_cards_red,0.09244715903858466,0.09244715903858466
PC21,Away_throw_ins,-0.09062077339441746,0.09062077339441746
PC22,Home_offsides,0.6013833871951921,0.6013833871951921
PC22,Away_offsides,-0.5581926694783144,0.5581926694783144
PC22,Home_own_goals,0.3880479644265796,0.3880479644265796
PC22,Away_tackles,0.16100798869326327,0.16100798869326327
PC22,Away_own_goals,-0.15181212235960576,0.15181212235960576
PC22,Home_throw_ins,0.1235370299059157,0.1235370299059157
PC22,Away_throw_ins,-0.11750474890895818,0.11750474890895818
PC22,Home_tackles,-0.10484512549683545,0.10484512549683545
PC22,Home_passing_accuracy,-0.10474518724910453,0.10474518724910453
PC22,Home_cards_red,-0.10417113333463453,0.10417113333463453
PC23,Away_goal_kicks,-0.3804995358383117,0.3804995358383117
PC23,Home_goal_kicks,0.3741514030148569,0.3741514030148569
PC23,Away_corners,-0.3251992246246221,0.3251992246246221
PC23,Home_corners,0.3056678749598466,0.3056678749598466
PC23,Away_crosses,-0.2118783643591616,0.2118783643591616
PC23,Away_own_goals,0.19004741355789528,0.19004741355789528
PC23,Home_crosses,0.19002851303120033,0.19002851303120033
PC23,Home_possession,0.1643863888319915,0.1643863888319915
PC23,Away_possession,-0.16406986201194756,0.16406986201194756
PC23,Home_tackles_won,-0.15302382812659826,0.15302382812659826
PC24,Away_cards_red,0.6077716459968155,0.6077716459968155
PC24,Home_cards_red,0.5752516374841028,0.5752516374841028
PC24,Away_offsides,-0.211172139897175,0.211172139897175
PC24,Home_pens_made,-0.14588838720847774,0.14588838720847774
PC24,Home_goal_kicks,0.13271868616911492,0.13271868616911492
PC24,Away_cards,-0.12993136317735138,0.12993136317735138
PC24,Away_cards_yellow,-0.12952912440316744,0.12952912440316744
PC24,Home_pens_won,0.11702870559499642,0.11702870559499642
PC24,Home_pens_att,-0.11627897219428145,0.11627897219428145
PC24,Away_pens_made,-0.11439715655265911,0.11439715655265911
PC25,Home_pens_won,-0.405901127809877,0.405901127809877
PC25,Home_pens_made,0.3948029915152095,0.3948029915152095
