our_name,footballbert_player_id,match_type,match_score
alassane traore,ba073806,fuzzy,96.7741928100586
alban lafont,ba028904,exact,100.0
alban meha,ba040625,exact,100.0
albano bizzarri,ba018621,exact,100.0
albert adomah,ba073027,exact,100.0
albert grønbaek,ba005019,exact,100.0
albert grønbæk,,unmatched,0.0
albert gudmundsson,ba067266,fuzzy,94.44444274902344
albert lottin,ba054023,exact,100.0
albert rafetraniaina,ba023723,exact,100.0
albert sambi lokonga,ba009967,exact,100.0
alberth elis,ba005927,exact,100.0
alberto aquilani,ba063405,exact,100.0
alberto botia,ba046741,exact,100.0
alberto brignoli,ba038843,exact,100.0
alberto bueno,ba056974,exact,100.0
alberto cerri,ba005978,exact,100.0
alberto cifuentes,ba054289,exact,100.0
alberto costa,ba028417,exact,100.0
alberto de la bella,ba048581,exact,100.0
alberto dossena,ba036112,exact,100.0
alberto garcia,ba008687,exact,100.0
alberto gilardino,ba025649,exact,100.0
alberto grassi,ba039976,exact,100.0
alberto guitian,ba005374,exact,100.0
alberto lopo,ba008665,exact,100.0
alberto lora,ba041921,exact,100.0
alberto mari,ba025107,exact,100.0
alberto martin,ba047040,exact,100.0
alberto moleiro,ba071388,exact,100.0
alberto moreno,ba006426,exact,100.0
alberto paleari,ba054494,exact,100.0
alberto paloschi,ba066598,exact,100.0
alberto pelagotti,ba017964,exact,100.0
alberto perea,ba031165,exact,100.0
alberto pomini,ba041730,exact,100.0
alberto redondo,ba006560,exact,100.0
alberto reina,ba081849,exact,100.0
alberto risco,ba019956,exact,100.0
alberto rivera,ba007884,fuzzy,92.30769348144531
alberto soro,ba025475,exact,100.0
albian hajdari,ba048624,exact,100.0
albin ekdal,ba089934,exact,100.0
aldo angoula,ba017623,exact,100.0
aldo kalulu,ba079009,exact,100.0
aldo one,,unmatched,0.0
aleandro rosi,ba010013,exact,100.0
aleix febas,ba020687,exact,100.0
aleix garcia,ba058969,exact,100.0
aleix vidal,ba001743,exact,100.0
alejandro arribas,ba074864,exact,100.0
alejandro balde,ba034218,exact,100.0
alejandro bedoya,ba056567,exact,100.0
alejandro cantero,ba030985,fuzzy,90.90908813476562
alejandro catena,,unmatched,0.0
alejandro faurlin,ba032920,exact,100.0
alejandro frances,ba022990,exact,100.0
alejandro galvez,ba085190,fuzzy,90.90908813476562
alejandro garnacho,ba044973,exact,100.0
alejandro gonzalez,ba004147,exact,100.0
alejandro grimaldo,,unmatched,0.0
alejandro mestanza,,unmatched,0.0
alejandro pozo,ba034703,fuzzy,90.32257843017578
alejandro pozuelo,ba034703,exact,100.0
alejandro rego,,unmatched,0.0
alejandro rodriguez,ba003682,exact,100.0
alejo veliz,ba023386,exact,100.0
aleksa terzic,ba023172,exact,100.0
aleksandar dragovic,ba041041,exact,100.0
aleksandar ignjovski,ba036776,exact,100.0
aleksandar jovanovic,ba006755,exact,100.0
aleksandar katai,ba078152,exact,100.0
